Generation,evals,avg,std,min,max,best_one,fitness_best_one 
202,424,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
203,412,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
204,432,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
205,428,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
206,416,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
207,436,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
208,418,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
209,408,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
210,428,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
211,424,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
212,430,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
213,412,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
214,428,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
215,414,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
216,418,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
217,444,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
218,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
219,444,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
220,416,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
221,422,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
222,418,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
223,446,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
224,444,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
225,412,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
226,420,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
227,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
228,394,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
229,412,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
230,438,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
231,422,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
232,422,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
233,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
234,438,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
235,402,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
236,420,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
237,424,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
238,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
239,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
240,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
241,400,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
242,438,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
243,446,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
244,446,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
245,420,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
246,406,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
247,392,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
248,438,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
249,432,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
250,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
251,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
252,438,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
253,420,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
254,422,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
255,438,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
256,422,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
257,436,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
258,420,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
259,418,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
260,412,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
261,430,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
262,434,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
263,416,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
264,410,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
265,406,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
266,402,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
267,432,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
268,420,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
269,420,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
270,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
271,422,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
272,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
273,420,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
274,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
275,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
276,408,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
277,440,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
278,430,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
279,416,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
280,430,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
281,434,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
282,426,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
283,432,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
284,416,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
285,436,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
286,424,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
287,418,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
288,436,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
289,424,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
290,414,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
291,412,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
292,416,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
293,420,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
294,400,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
295,416,[  7.         408.43842278],[0.00000000e+00 2.33058017e-12],[  7.         408.43842278],[  7.         408.43842278],"[13, 19, 18, 23, 5, 3, 7, 21, 20, 2, 1, 16, 14, 12, 24, 25, 22, 4, 6, 9, 11, 8, 10, 15, 17]","(7.0, 408.438422777205)"
